Title:,"Time Series, Area-Averaged of Ozone Total Column (DOAS) daily 0.25 deg. [OMI (daily)"
User Start Date:,2004-10-01T00:00:00Z
User End Date:,2024-11-19T23:59:59Z
User Bounding Box:,"29,-28,32,-25"
Data Bounding Box:,"29.125,-27.875,31.875,-25.125"
URL to Reproduce Results:,"https://giovanni.gsfc.nasa.gov/giovanni/#service=ArAvTs&starttime=2004-10-01T00:00:00Z&endtime=2024-11-19T23:59:59Z&bbox=29,-28,32,-25&data=OMDOAO3e_003_ColumnAmountO3%2COMUVBd_003_UVindex&variableFacets=dataFieldMeasurement%3AUV%20Exposure%3B&portal=GIOVANNI&format=json"
Fill Value (mean_OMDOAO3e_003_ColumnAmountO3):, -1.267651e+30

time, mean_OMDOAO3e_003_ColumnAmountO3
2019-11-07,282.791504
2019-11-08,285.415833
2019-11-09,284.759003
2019-11-10,280.211395
2019-11-11,279.349152
2019-11-12,-1.267651e+30
2019-11-13,279.483246
2019-11-14,300.926971
2019-11-15,295.820953
2019-11-16,281.695496
2019-11-17,287.786621
2019-11-18,284.834808
2019-11-19,284.81662
2019-11-20,269.203522
2019-11-21,331.669067
2019-11-22,272.761353
2019-11-23,270.537323
2019-11-24,276.256348
2019-11-25,271.614685
2019-11-26,268.648132
2019-11-27,273.777008
2019-11-28,300.233032
2019-11-29,273.895538
2019-11-30,265.029358
2019-12-01,268.836487
2019-12-02,267.963989
2019-12-03,269.004456
2019-12-04,269.17337
2019-12-05,273.872742
2019-12-06,280.005219
2019-12-07,314.289093
2019-12-08,271.909058
2019-12-09,264.688599
2019-12-10,271.228485
2019-12-11,274.546387
2019-12-12,263.850891
2019-12-13,265.04007
2019-12-14,298.48584
2019-12-15,264.460571
2019-12-16,262.543762
2019-12-17,269.388611
2019-12-18,273.538147
2019-12-19,272.519623
2019-12-20,270.874023
2019-12-21,274.378052
2019-12-22,273.230225
2019-12-23,320.099976
2019-12-24,270.114471
2019-12-25,269.087585
2019-12-26,264.151001
2019-12-27,262.161102
2019-12-28,261.303284
2019-12-29,270.584015
2019-12-30,295.321503
2019-12-31,265.533051
2020-01-01,266.204651
2020-01-02,266.265717
2020-01-03,266.053131
2020-01-04,270.523041
2020-01-05,268.285004
2020-01-06,275.343475
2020-01-07,267.448669
2020-01-08,304.977448
2020-01-09,257.628143
2020-01-10,256.138519
2020-01-11,268.963379
2020-01-12,264.747772
2020-01-13,263.884003
2020-01-14,267.65741
2020-01-15,296.83316
2020-01-16,267.334412
2020-01-17,260.092438
2020-01-18,264.268494
2020-01-19,263.103638
2020-01-20,267.982635
2020-01-21,265.815674
2020-01-22,279.765442
2020-01-23,266.222321
2020-01-24,304.852661
2020-01-25,260.273102
2020-01-26,257.38681
2020-01-27,257.197357
2020-01-28,267.516327
2020-01-29,258.35968
2020-01-30,270.443176
2020-01-31,295.567596
2020-02-01,267.379272
2020-02-02,255.92543
2020-02-03,271.258331
2020-02-04,269.203613
2020-02-05,274.235321
2020-02-06,271.375946
2020-02-07,277.168884
2020-02-08,270.71463
2020-02-09,307.983124
2020-02-10,257.80246
2020-02-11,259.081207
2020-02-12,271.032745
2020-02-13,269.555603
2020-02-14,261.909546
2020-02-15,272.396942
2020-02-16,297.623962
2020-02-17,267.59967
2020-02-18,272.134796
2020-02-19,269.098511
2020-02-20,262.721924
2020-02-21,264.76178
2020-02-22,272.193207
2020-02-23,277.160675
2020-02-24,262.182434
2020-02-25,318.376495
2020-02-26,267.9534
2020-02-27,263.039246
2020-02-28,268.933319
2020-02-29,268.099426
2020-03-01,270.280762
2020-03-02,275.750732
2020-03-03,294.908844
2020-03-04,256.811707
2020-03-05,250.827667
2020-03-06,259.761963
2020-03-07,265.254211
2020-03-08,267.888123
2020-03-09,267.816437
2020-03-10,273.176147
2020-03-11,258.059967
2020-03-12,290.92926
2020-03-13,260.654053
2020-03-14,257.042511
2020-03-15,260.111847
2020-03-16,258.839569
2020-03-17,263.203247
2020-03-18,271.415039
2020-03-19,303.580261
2020-03-20,266.958435
2020-03-21,247.390701
2020-03-22,264.796692
2020-03-23,262.505554
2020-03-24,261.991455
2020-03-25,260.087585
2020-03-26,269.883545
2020-03-27,268.525391
2020-03-28,315.49115
2020-03-29,260.778687
2020-03-30,261.511963
2020-03-31,271.712494
2020-04-01,265.62146
2020-04-02,264.686035
2020-04-03,263.810486
2020-04-04,277.267822
2020-04-05,255.292587
2020-04-06,252.597687
2020-04-07,269.065247
2020-04-08,266.722443
2020-04-09,261.094604
2020-04-10,258.503174
2020-04-11,271.629303
2020-04-12,259.163086
2020-04-13,293.90033
2020-04-14,248.911758
2020-04-15,248.544464
2020-04-16,252.633652
2020-04-17,250.836456
2020-04-18,249.45192
2020-04-19,258.04715
2020-04-20,269.784821
2020-04-21,243.23999
2020-04-22,228.395279
2020-04-23,250.040222
2020-04-24,257.303528
2020-04-25,264.642944
2020-04-26,262.061554
2020-04-27,265.973083
2020-04-28,254.107162
2020-04-29,305.759796
2020-04-30,252.830246
2020-05-01,247.753799
2020-05-02,251.77681
2020-05-03,242.229767
2020-05-04,243.775436
2020-05-05,257.024872
2020-05-06,281.671906
2020-05-07,247.384537
2020-05-08,250.797287
2020-05-09,253.927979
2020-05-10,249.334396
2020-05-11,246.977036
2020-05-12,252.334274
2020-05-13,263.804413
2020-05-14,254.328995
2020-05-15,306.679718
2020-05-16,252.262177
2020-05-17,241.677567
2020-05-18,240.067596
2020-05-19,243.373444
2020-05-20,241.273956
2020-05-21,246.681137
2020-05-22,279.049164
2020-05-23,243.63942
2020-05-24,253.299591
2020-05-25,246.660614
2020-05-26,249.197952
2020-05-27,263.798126
2020-05-28,253.981461
2020-05-29,276.236572
2020-05-30,262.073029
2020-05-31,308.554657
2020-06-01,258.760223
2020-06-02,253.950729
2020-06-03,257.588257
2020-06-04,253.238968
2020-06-05,258.363434
2020-06-06,261.88974
2020-06-07,276.975769
2020-06-08,247.829498
2020-06-09,240.09938
2020-06-10,251.923813
2020-06-11,248.589203
2020-06-12,242.600174
2020-06-13,249.183075
2020-06-14,261.206451
2020-06-15,259.525055
2020-06-16,308.804871
2020-06-17,270.299347
2020-06-18,266.896912
2020-06-19,256.324554
2020-06-20,262.616302
2020-06-21,261.062256
2020-06-22,262.021973
2020-06-23,289.663239
2020-06-24,263.202789
2020-06-25,252.357361
2020-06-26,259.62796
2020-06-27,266.504822
2020-06-28,258.05899
2020-06-29,260.222626
2020-06-30,264.333252
2020-07-01,255.350143
2020-07-02,300.850861
2020-07-03,257.668365
2020-07-04,268.401917
2020-07-05,257.158966
2020-07-06,256.472961
2020-07-07,263.245941
2020-07-08,270.920624
2020-07-09,299.110901
2020-07-10,265.888306
2020-07-11,298.879059
2020-07-12,278.198303
2020-07-13,268.398376
2020-07-14,268.026947
2020-07-15,278.579376
2020-07-16,286.810089
2020-07-17,276.295868
2020-07-18,323.893616
2020-07-19,266.835663
2020-07-20,267.946808
2020-07-21,268.635712
2020-07-22,261.415741
2020-07-23,268.261658
2020-07-24,274.384491
2020-07-25,293.713257
2020-07-26,255.033264
2020-07-27,262.746063
2020-07-28,271.680481
2020-07-29,269.694885
2020-07-30,269.744598
2020-07-31,285.063019
2020-08-01,284.659729
2020-08-02,273.600861
2020-08-03,330.232269
2020-08-04,272.471375
2020-08-05,272.026489
2020-08-06,263.677063
2020-08-07,258.953674
2020-08-08,259.438416
2020-08-09,262.122192
2020-08-10,289.256073
2020-08-11,258.452698
2020-08-12,258.829956
2020-08-13,260.383972
2020-08-14,280.218353
2020-08-15,274.32312
2020-08-16,264.553741
2020-08-17,281.143555
2020-08-18,262.678619
2020-08-19,364.428711
2020-08-20,294.971191
2020-08-21,289.122284
2020-08-22,279.636963
2020-08-23,272.02832
2020-08-24,267.532623
2020-08-25,261.066772
2020-08-26,293.16394
2020-08-27,263.678162
2020-08-28,260.875275
2020-08-29,276.278107
2020-08-30,271.74704
2020-08-31,271.083557
2020-09-01,279.970917
2020-09-02,276.575348
2020-09-03,271.335541
2020-09-04,323.270721
2020-09-05,277.503632
2020-09-06,266.501801
2020-09-07,264.88623
2020-09-08,270.80484
2020-09-09,270.92627
2020-09-10,274.275482
2020-09-11,303.018921
2020-09-12,271.55304
2020-09-13,263.35144
2020-09-14,271.82135
2020-09-15,271.196381
2020-09-16,277.169067
2020-09-17,278.110596
2020-09-18,289.88266
2020-09-19,276.209595
2020-09-20,343.708405
2020-09-21,277.31897
