,Unnamed: 0,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0,precalibrated_AOT465,precalibrated_AOT540,precalibrated_AOT619,tau_aerosols_465_calitoo,tau_aerosols_540_calitoo,tau_aerosols_619_calitoo,tau_aerosols_465_expected,tau_aerosols_540_expected,tau_aerosols_619_expected
124,125,2024-07-11,10:56:07,25,846,2561.217926396309,2882.5324786791857,2195.477246305832,01603,4648.79347N,00950.67000E,64.6,0.04147783367863425,0.043119304906747806,0.04695816672068537,0.93,0.99,2024-07-11 10:56:07,46.8132245,9.8445,0.4433136300065598,1.1070086687638443,193,0.9678988946825032,0.7527,0.673,0.5771,0.09541514743682897,0.0778377015378801,0.07663705437316146,0.08460895696612866,0.06922962071654813,0.06336787835908259
125,126,2024-07-11,10:56:29,26,845,2553.9857660555367,2870.1344895235766,2189.278251728027,0000M,4648.79262N,00950.66849E,64.6,0.044032207042996485,0.04701299754235743,0.049512368119465355,0.92,0.98,2024-07-11 10:56:29,46.81321033333333,9.844474833333331,0.4433136300065598,1.1070086687638443,193,0.9678988946825032,0.7556,0.6771,0.5798,0.09796952080119117,0.08173139417348975,0.07919125577194142,0.08716333033049087,0.07312331335215776,0.06592207975786255
126,127,2024-07-11,10:56:48,26,845,2541.587776899927,2849.471174264228,2198.5767435947337,0000M,4648.79345N,00950.66943E,64.6,0.048428007896667846,0.05354001504901395,0.045683769199848456,0.96,0.97,2024-07-11 10:56:48,46.81322416666666,9.8444905,0.4433136300065598,1.1070086687638443,193,0.9678988946825032,0.7601,0.6837,0.5761,0.10236532165486253,0.08825841168014627,0.07536265685232452,0.09155913118416223,0.0796503308588143,0.062093480838245674
127,128,2024-07-15,06:34:15,24,844,1893.9097893981289,2319.3682589902933,1884.6157937031544,01603,4648.79380N,00950.68307E,27.2,0.0626800961702452,0.06231161812703439,0.05491415609852221,1.48,1.0,2024-07-15 06:34:15,46.81323,9.844717833333334,1.096066770252439,2.187715018606054,197,0.9683671367382456,0.1229,0.0979,0.0806,0.08997299007660128,0.07987952149167536,0.06993201063219603,0.08450493485659341,0.07552373474176037,0.06321765672868898
128,129,2024-07-15,06:34:26,24,844,1895.9751217747896,2311.1069294836493,1894.9424555864596,01596,4648.79394N,00950.68081E,27.3,0.06305456603134738,0.06456423549318642,0.052859760570376974,1.57,0.99,2024-07-15 06:34:26,46.81323233333333,9.844680166666668,1.0943214410004447,2.180313902461664,197,0.9683671367382456,0.1227,0.0997,0.0783,0.09044010617432532,0.08219177343295365,0.06792859349093253,0.08495348953904533,0.07782120088380125,0.06119144758806322
129,130,2024-07-15,06:34:44,25,844,1907.3344498464253,2343.1195813218947,1886.6811260798156,0000M,4648.79302N,00950.68210E,27.3,0.06031486464612004,0.05825477890877483,0.05486369408918407,1.41,0.99,2024-07-15 06:34:44,46.813217,9.844701666666667,1.0943214410004447,2.180313902461664,197,0.9683671367382456,0.1205,0.0938,0.0805,0.08770040478909805,0.07588231684854206,0.06993252700973959,0.082213788153818,0.07151174429938968,0.06319538110687029
130,131,2024-07-15,07:01:46,25,844,2047.7770514593728,2448.451532531605,1933.151104554688,01612,4648.79783N,00950.65458E,32.0,0.062323006495584615,0.06252294692895367,0.0626480116455955,1.17,0.97,2024-07-15 07:01:46,46.813297166666665,9.844243,1.0122909661567112,1.8870799147998585,197,0.9683671367382456,0.1261,0.1004,0.0903,0.09396399500480182,0.08288963396473888,0.08005839562185851,0.08762481115065793,0.07783991666559369,0.07227436233331785
131,132,2024-07-15,07:02:00,25,844,2058.1037133426776,2464.974191544893,1943.4777664379928,01613,4648.79696N,00950.65888E,32.0,0.05965741101467917,0.058958953575689775,0.05982478033143429,1.21,0.96,2024-07-15 07:02:00,46.813282666666666,9.844314666666667,1.0122909661567112,1.8870799147998585,197,0.9683671367382456,0.1238,0.0971,0.0877,0.09129839952389632,0.07932564061147497,0.07723516430769731,0.08495921566975248,0.07427592331232978,0.06945113101915662
132,133,2024-07-15,07:02:22,25,844,2049.8423838360336,2437.0922044599697,1950.706429756306,01613,4648.79483N,00950.66822E,32.1,0.06250538258370472,0.0655012617672913,0.058237273922577576,1.35,1.0,2024-07-15 07:02:22,46.81324716666666,9.844470333333334,1.0105456369047168,1.881826633610659,197,0.9683671367382456,0.1264,0.1034,0.086,0.0942346996385883,0.08592480416476629,0.07569626048581948,0.08787781940652042,0.08086099014468805,0.06789049739766792
133,134,2024-07-15,07:02:46,25,844,2049.8423838360336,2451.5495310965966,1966.1964225812635,01610,4648.79321N,00950.67417E,32.1,0.06250538258370472,0.06235821073149599,0.054034257710278866,1.53,1.0,2024-07-15 07:02:46,46.81322016666667,9.8445695,1.0105456369047168,1.881826633610659,197,0.9683671367382456,0.127,0.1007,0.0821,0.0942346996385883,0.08278175312897097,0.07149324427352077,0.08787781940652042,0.07771793910889273,0.06368748118536921
