,Date,Time,Temperature,Pression,RAW465,RAW540,RAW619,Altitude,Latitude,Longitude,Elevation,AOT465,AOT540,AOT619,Alpha,RÂ²,Datetime,N,E,sza_rad,air_mass,day_of_year,E0
87,2024-07-10,07:15:05,24,847,2121.295076785185,2509.803088899763,1983.8707001595494,01608,4648.79343N,00950.67321E,34.8,0.5235,0.4671,0.3977,0.96,0.98,2024-07-10 07:15:05,46.81322383333333,9.8445535,0.9634217471008699,1.7521924422741888,192,0.967805008585281
88,2024-07-10,07:39:50,25,846,2223.5884097621615,2604.863559949075,2027.2678717255394,01610,4648.79377N,00950.67111E,39.0,0.5647,0.5024,0.4321,0.93,0.99,2024-07-10 07:39:50,46.8132295,9.8445185,0.8901179185171081,1.5890157290657494,192,0.967805008585281
89,2024-07-10,07:40:02,25,846,2212.2224838758307,2574.898846248748,2043.8001275602023,01609,4648.79246N,00950.67541E,39.1,0.5684,0.5101,0.4274,0.99,0.97,2024-07-10 07:40:02,46.81320766666666,9.844590166666666,0.8883725892651138,1.5856006972472185,192,0.967805008585281
90,2024-07-10,07:40:16,25,846,2215.3222818448303,2568.69925031075,2032.4342016738717,01609,4648.79235N,00950.67586E,39.1,0.5682,0.5121,0.4313,0.96,0.97,2024-07-10 07:40:16,46.813205833333335,9.844597666666667,0.8883725892651138,1.5856006972472185,192,0.967805008585281
91,2024-07-10,07:40:30,25,846,2212.2224838758307,2576.965378228081,2038.6337976118702,01610,4648.79252N,00950.67507E,39.2,0.5697,0.5106,0.4298,0.98,0.98,2024-07-10 07:40:30,46.81320866666667,9.8445845,0.8866272600131193,1.5822051221100972,192,0.967805008585281
92,2024-07-10,08:40:28,25,846,2413.709351860785,2757.786926419707,2125.4281407438507,01612,4648.79517N,00950.67746E,49.0,0.6473,0.5794,0.4958,0.93,0.98,2024-07-10 08:40:28,46.81325283333334,9.844624333333334,0.7155849933176751,1.3250129933488113,192,0.967805008585281
93,2024-07-10,08:40:37,25,846,2401.310159984788,2747.4542665230424,2125.4281407438507,01615,4648.79401N,00950.68059E,49.1,0.6515,0.5825,0.496,0.95,0.98,2024-07-10 08:40:37,46.8132335,9.8446765,0.7138396640656808,1.3230077532107105,192,0.967805008585281
94,2024-07-10,08:40:48,25,846,2400.2768939951216,2743.321202564377,2119.228544805852,01618,4648.79444N,00950.68149E,49.1,0.6522,0.5839,0.4985,0.94,0.98,2024-07-10 08:40:48,46.813240666666665,9.8446915,0.7138396640656808,1.3230077532107105,192,0.967805008585281
95,2024-07-10,09:09:09,24,846,2376.5117762327936,2687.5248391223895,2064.465447353531,01608,4648.79281N,00950.67384E,53.4,0.7113,0.6434,0.555,0.86,0.98,2024-07-10 09:09:09,46.8132135,9.844564,0.6387905062299246,1.2456131448333823,192,0.967805008585281
96,2024-07-10,09:09:22,24,846,2062.398915374198,2319.68214680114,1798.916088009258,01603,4648.79309N,00950.66802E,53.5,0.8255,0.7619,0.6659,0.75,0.97,2024-07-10 09:09:22,46.813218166666665,9.844467,0.6370451769779303,1.2440025693531807,192,0.967805008585281
97,2024-07-10,09:09:39,25,846,2371.345446284461,2717.489552822716,2074.7981072501952,01605,4648.79361N,00950.67009E,53.5,0.7139,0.6352,0.5516,0.9,0.99,2024-07-10 09:09:39,46.81322683333333,9.8445015,0.6370451769779303,1.2440025693531807,192,0.967805008585281
98,2024-07-10,09:09:54,25,846,2284.551103152481,2604.863559949075,2016.9352118288753,01605,4648.79356N,00950.67138E,53.5,0.7443,0.6696,0.5747,0.9,0.98,2024-07-10 09:09:54,46.813226,9.844523,0.6370451769779303,1.2440025693531807,192,0.967805008585281
99,2024-07-11,07:10:34,23,847,2131.4209690018497,2530.222953507285,1991.943591001244,01605,4648.79296N,00950.67641E,33.9,0.5055,0.4499,0.3851,0.95,0.99,2024-07-11 07:10:34,46.813216,9.844606833333334,0.9791297103688189,1.7929336965936788,193,0.9678988946825031
100,2024-07-11,07:10:47,23,847,2135.5536320537194,2530.222953507285,1991.943591001244,01612,4648.79343N,00950.67098E,34.0,0.5051,0.4504,0.3855,0.94,0.99,2024-07-11 07:10:47,46.81322383333333,9.844516333333333,0.9773843811168246,1.7882916499714008,193,0.9678988946825031
101,2024-07-11,07:11:00,23,847,2123.15564289811,2503.3606436701316,1989.877259475309,01613,4648.79293N,00950.67087E,34.0,0.509,0.4569,0.3866,0.96,0.98,2024-07-11 07:11:00,46.8132155,9.8445145,0.9773843811168246,1.7882916499714008,193,0.9678988946825031
102,2024-07-11,07:28:45,24,846,2206.8420696984736,2584.98073894456,2031.2038899940069,01615,4648.79552N,00950.66543E,37.0,0.5376,0.4807,0.4092,0.95,0.98,2024-07-11 07:28:45,46.81325866666667,9.844423833333334,0.9250245035569946,1.661640141122483,193,0.9678988946825031
103,2024-07-11,07:29:00,24,846,2216.1405615651806,2593.2460650483,2039.4692160977465,01614,4648.79397N,00950.67132E,37.1,0.5357,0.4793,0.4072,0.96,0.98,2024-07-11 07:29:00,46.81323283333333,9.844522,0.9232791743050003,1.6578029805902892,193,0.9678988946825031
104,2024-07-11,07:55:50,24,846,2306.0259829433485,2677.965657611631,2079.762680853477,01608,4648.80038N,00950.65215E,41.6,0.5802,0.5169,0.4424,0.94,0.99,2024-07-11 07:55:50,46.813339666666664,9.8442025,0.8447393579652555,1.5061914727017875,193,0.9678988946825031
105,2024-07-11,07:56:09,24,846,2304.9928171803813,2672.7998287967935,2077.696349327542,01609,4648.79821N,00950.66028E,41.7,0.5813,0.5189,0.4436,0.94,0.99,2024-07-11 07:56:09,46.8133035,9.844338,0.8429940287132611,1.5032386796594364,193,0.9678988946825031
106,2024-07-11,07:56:23,24,846,2308.092314469284,2676.932491848663,2076.663183564575,01611,4648.79708N,00950.66498E,41.7,0.5809,0.5183,0.4444,0.93,0.99,2024-07-11 07:56:23,46.81328466666667,9.844416333333333,0.8429940287132611,1.5032386796594364,193,0.9678988946825031
107,2024-07-11,08:12:12,27,846,2334.9546243064374,2700.6953043969147,2096.2933330609562,01603,4648.79297N,00950.68207E,44.3,0.6103,0.5434,0.4636,0.96,0.99,2024-07-11 08:12:12,46.81321616666666,9.844701166666667,0.7976154681614086,1.431812878183043,193,0.9678988946825031
108,2024-07-11,08:12:28,27,846,2339.087287358307,2699.662138633947,2089.061172720184,01605,4648.78812N,00950.69319E,44.4,0.6097,0.5442,0.4664,0.93,0.99,2024-07-11 08:12:28,46.813135333333335,9.8448865,0.7958701389094143,1.4292588193434115,193,0.9678988946825031
109,2024-07-11,08:12:40,27,846,2338.0541215953394,2697.595807108012,2091.127504246119,0000M,4648.78814N,00950.69303E,44.4,0.6105,0.5451,0.466,0.94,0.99,2024-07-11 08:12:40,46.81313566666667,9.844883833333334,0.7958701389094143,1.4292588193434115,193,0.9678988946825031
110,2024-07-11,08:39:59,27,846,2385.5797466918425,2733.756608811873,2120.0561456092078,01608,4648.79506N,00950.67506E,48.8,0.6538,0.5839,0.4961,0.96,0.98,2024-07-11 08:39:59,46.813251,9.844584333333334,0.7190756518216638,1.329053941086364,193,0.9678988946825031
111,2024-07-11,08:40:18,27,846,2379.3807521140375,2726.524448471101,2117.989814083273,01612,4648.80000N,00950.66350E,48.9,0.6564,0.5865,0.4972,0.97,0.98,2024-07-11 08:40:18,46.81333333333333,9.844391666666667,0.7173303225696694,1.3270283697641696,193,0.9678988946825031
112,2024-07-11,08:40:32,27,846,2363.883265669526,2716.1927908414264,2097.326498823924,01616,4648.80464N,00950.65183E,48.9,0.6617,0.5897,0.5049,0.94,0.99,2024-07-11 08:40:32,46.81341066666667,9.844197166666667,0.7173303225696694,1.3270283697641696,193,0.9678988946825031
113,2024-07-11,08:53:34,27,846,2394.8782385585496,2731.690277285938,2125.221974424045,01603,4648.79556N,00950.66839E,51.0,0.6766,0.6062,0.512,0.97,0.98,2024-07-11 08:53:34,46.813259333333335,9.844473166666667,0.6806784082777885,1.2867595658931672,193,0.9678988946825031
114,2024-07-11,08:53:57,27,846,2387.6460782177774,2731.690277285938,2116.9566483203052,01598,4648.79789N,00950.66217E,51.0,0.6796,0.6068,0.5155,0.96,0.98,2024-07-11 08:53:57,46.81329816666667,9.8443695,0.6806784082777885,1.2867595658931672,193,0.9678988946825031
115,2024-07-11,09:15:25,27,846,2457.901350099564,2788.5143942491477,2158.2832788390033,01608,4648.79448N,00950.67437E,54.2,0.6928,0.621,0.5253,0.96,0.98,2024-07-11 09:15:25,46.81324133333333,9.844572833333334,0.62482787221397,1.2329485998353475,193,0.9678988946825031
116,2024-07-11,09:15:47,27,846,2443.4370294180194,2769.917410515734,2155.183781550101,0000M,4648.79402N,00950.66969E,54.3,0.6982,0.6269,0.5269,0.98,0.97,2024-07-11 09:15:47,46.81323366666667,9.844494833333334,0.6230825429619757,1.2314004248152048,193,0.9678988946825031
117,2024-07-11,09:16:06,27,846,2445.5033609439542,2782.315399671343,2156.2169473130684,01602,4648.79409N,00950.66584E,54.3,0.698,0.6237,0.5268,0.98,0.98,2024-07-11 09:16:06,46.81323483333333,9.844430666666666,0.6230825429619757,1.2314004248152048,193,0.9678988946825031
